Frame#,secs,nsecs,x,y,z,l,w,h,orientation,confidence_level
0,0,6239615,34.60354,8.552752,0.24392672,1.0372901,0.9941183,1.8572781,-3.1673553,0.8465345
0,0,6239615,-6.1820974,22.097868,-0.7096593,1.0593182,0.90123683,1.8376503,1.9324144,0.8157255
0,0,6239615,32.049263,2.73507,-0.12691514,0.9041851,0.8160569,1.5806063,-0.010941438,0.8148869
0,0,6239615,17.186407,-6.2300315,-0.779908,0.8916532,0.80795735,1.608819,0.6695977,0.794643
0,0,6239615,-10.330748,27.674477,-0.943936,1.0124245,0.86605465,1.6971755,2.1342788,0.7872545
0,0,6239615,2.3391695,17.548859,-0.5521659,0.90167654,0.8437504,1.6973846,1.4036658,0.78387827
0,0,6239615,1.4408556,-11.122269,-1.0634211,0.80043966,0.8487127,1.8129934,-1.0452013,0.7787082
0,0,6239615,-4.2400537,17.895523,-0.83465904,0.9673005,0.83301026,1.6651875,2.295237,0.7784884
0,0,6239615,25.777645,14.161866,-0.022578765,0.81375587,0.7592812,1.5794141,3.0032508,0.7696667
0,0,6239615,-1.7263747,15.951402,-0.76815635,0.9551687,0.8603795,1.6996759,2.4912364,0.7598914
0,0,6239615,24.389711,3.8912234,-0.36655194,0.9008431,0.8164929,1.5545408,-3.117204,0.7417711
0,0,6239615,8.262478,28.134962,0.34610027,1.0078689,0.89103687,1.8576112,-2.9531755,0.72872883
0,0,6239615,2.977161,-11.446828,-1.1814213,0.72647804,0.7167165,1.5638447,-2.3829541,0.6988015
0,0,6239615,24.098454,-3.307439,-0.36930424,0.8894247,0.8507213,1.8109475,0.45223475,0.6966895
0,0,6239615,49.065998,16.426554,1.1094744,0.9623106,0.84089226,1.6713151,-3.084584,0.6953082
0,0,6239615,53.627045,6.2600255,0.74861926,1.0012424,0.9280268,1.8246785,0.457518,0.67829907
0,0,6239615,37.278122,11.459473,0.2902965,0.9219836,0.84880626,1.6449353,-3.1672301,0.6627469
0,0,6239615,34.939903,-1.0661645,-0.13095598,0.8816436,0.8120659,1.5785939,-0.0838545,0.6504643
0,0,6239615,2.8460443,-12.967717,-1.1587976,0.77347326,0.7580411,1.6398675,3.054724,0.59242994
0,0,6239615,25.48721,13.580832,-0.11979298,0.82340115,0.74991935,1.4981159,3.0649128,0.5918685
0,0,6239615,-7.307411,42.735928,-0.29854363,0.9669978,0.88017035,1.6942234,1.7308451,0.589184
0,0,6239615,-24.410952,0.782071,-1.3371184,0.9524733,0.8733821,1.7076713,1.3209977,0.5777137
0,0,6239615,23.806221,-2.192941,-0.36498958,0.815559,0.807415,1.754406,0.022044525,0.5506167
